name,lat,lon,要素,住所,説明
戸吹スポーツ公園のスケートパーク,35.70078,139.287996,八王子景観100選No.64,戸吹町１７４６ー１,市北西部に位置する公園と各種運動施設があり、中でも公共のスケートパークは国内最大級の規模です。
里山が残る上川の里,35.707258,139.254605,八王子景観100選No.65,上川町,緑を大切にしたいと願う地域住民の働きかけにより、守られた丘陵地です。里山を守り再生する活動を通じて、独自の美しい上川の里の景観が育まれています。
夕やけ小やけふれあいの里の風景,35.668888,139.217004,八王子景観100選No.66、八王子八十八景No.20,上恩方町２０３０,童謡「夕焼小焼」のモデルである上恩方町のレクリエーション施設で、施設内では様々な行事・イベントが行われ、多くの人々に親しまれています。
裏高尾町の中央線の沿線風景,35.639446,139.238654,八王子景観100選No.67,裏高尾町,山間部を貫くように鉄道が走り、山肌のすぐ近くの線路やレンガ造りの橋など、懐かしさが感じられる景観です。
高尾山ケーブルカー付近の風景,35.631101,139.260684,八王子景観100選No.68,高尾町,ケーブルカーは日本一の急こう配で、周囲の景色の変化や高低差を楽しむことができます。
高尾駒木野庭園と四季の風景,35.640544,139.269942,八王子景観100選No.69,裏高尾町２６８ー１,敷地内に枯山水、露地、池泉回遊式庭園などがあり落ち着いた雰囲気の中、日本庭園を楽しむことができます。
エスフォルタアリーナと芝生広場,35.639743,139.292927,八王子景観100選No.70,狭間町１４５３ー１,挟間駅前に建設されたスポーツ施設で、芝生広場では、多くの人々が楽しんでいる姿を見ることができます。
高尾599ミュージアム,35.630398,139.268702,八王子景観100選No.71,高尾町2435番3,平成27年8月に開館した高尾山の魅力を詰め込んだミュージアムです。施設前の芝生広場は居心地がよく、登山客の休憩場所や近隣の方々の憩いの場として使われています。
南浅川町の古民家と四季の風景,35.615844,139.257348,八王子景観100選No.72,南浅川町３４２６,山間部の深い緑を活かした風情ある佇まいで四季の移ろいで、様々な表情をみせます。
高尾山の四季の風景,35.625412,139.24374,八王子景観100選No.73、八王子八十八景No.8,高尾町,高尾山は長い間植生が守られたため、1,600種以上の植物があり、樹種の違いによる緑の見え方や、芽吹きや紅葉など四季それぞれに多彩な表情がみられます。
花の名所片倉城跡公園,35.640225,139.337529,八王子景観100選No.74、八王子八十八景No.3、景観重要公共施設,片倉町２４７５,室町時代の片倉城跡と自然を活かした公園で、カタクリやハナショウブなど植物が豊富です。
栃谷戸公園の棚田と石橋,35.629014,139.318229,八王子景観100選No.75、八王子八十八景No.16,みなみ野５丁目２９,段々畑など里山の風景を再現した公園で、田植えなどの体験学習が行われています。「関東富士見百景」の一つでもあります。
北野台中央公園の広場,35.628637,139.352327,八王子景観100選No.76,北野台４丁目２０,閑静な住宅地に囲まれた公園で、小高い丘や広場があり地域の人々に親しまれています。
八王子ニュータウンのまちなみ,35.618235,139.324742,八王子景観100選No.77,みなみ野１丁目他,開発以前の土地や緑など自然環境をうまく活かしながら開発されたまちなみです。
東京都立大学の四季の風景,35.617246,139.377148,八王子景観100選No.78、八王子八十八景No.73,南大沢１丁目１,東京都立大学のキャンパス内には３つの池があり、建設以前の自然がしのばれます。
コーシャハイム南大沢五丁目周辺のまちなみ,35.60958,139.367423,八王子景観100選No.79,南大沢５丁目２０,住宅地内の歩行者専用道路の沿道に高木が立ち並び、四季折々に多彩な風景をつくりだしています。
絹の道周辺の里山風景,35.618383,139.35436,八王子景観100選No.80,鑓水,八王子から横浜に生糸を運ぶルートとして、丘陵地を貫いてつくられた絹の道沿道には、里山の風景がみられます。
多摩美術大学の図書館,35.611757,139.351285,八王子景観100選No.81,鑓水２丁目１７２３,特徴的な外観は外からも眺めることができ、学園都市八王子の特徴的な景観の一つになっています。
大学セミナーハウスの建築群,35.630346,139.365551,八王子景観100選No.82、八王子八十八景No.68、東京都選定歴史的建造物,下柚木１９８７ー１,教師と学生の宿泊研修施設で特徴ある建築物が建ち並んでいる。
多摩ニュータウンライブ長池地区のまちなみ,35.613963,139.389536,八王子景観100選No.83,別所１丁目、別所２丁目,無電柱化、曲線道路、歩道の段差気象などによる景観形成が行われています。
長池見附橋周辺の風景,35.611758,139.392439,八王子景観100選No.84、八王子八十八景No.28,別所２丁目５８,園内の姿池の水面と長池見附橋のアーチを通して眺める公園の雑木林などが住宅地と自然をつなぐランドマークとして親しまれている。
ベルコリーヌ南大沢のまちなみ,35.611242,139.371464,八王子景観100選No.85、八王子八十八景No.76,南大沢５丁目９ー１,多摩ニュータウンの中で、まちをつくることを意識してデザインが考えられ地区です。場所ごとに個性を活かしながら統一感のあるまちなみ景観がつくられています。
リーフィア南大沢のまちなみ,35.608941,139.360546,八王子景観100選No.86,鑓水２丁目,2013年に市内初の景観協定を結んだ住宅地で、美しいまちなみや快適な住環境が守られています。
堀之内の里山風景,35.634734,139.392392,八王子景観100選No.87,堀之内,多摩ニュータウンが開発された地域は自然や里山の風景が広がっていた場所でその風景を残しています。
今熊山とミツバツツジ,35.710677,139.215867,八王子景観100選No.88、八王子八十八景No.2,上川町１９,標高505.7ｍの今熊山は、今熊神社を有する歴史のある山で地域のランドマークになっています。春になるとミツバツツジが咲き誇り美しい景観が広がります。
一丁平のサクラ,35.62643,139.228705,八王子景観100選No.89、八王子八十八景No.1,南浅川町,高尾山から小仏城山へ向かうハイキングコースにあり、四季折々の自然を満喫できます。桜の名所としても有名で、周囲の山からも眺めることができます。
高尾梅郷,35.638704,139.255984,八王子景観100選No.90、八王子八十八景No.10,裏高尾町３１３,旧甲州街道と小仏川に沿って点在している梅林と梅の木を総称して高尾梅郷と呼ばれています。
ホーメストタウンのサクラ並木,35.664875,139.273803,八王子景観100選No.91,元八王子町２丁目,ニュータウン開発の一画にあり、生活面やまちの美しさを考慮してつくられた住宅地で、当時の並木も大きく育ち、美しく快適なまちの景観となっています。
越野の日枝神社のサクラと眺望,35.631463,139.386291,八王子景観100選No.92,越野７５０,小高い丘に位置し、まちを見渡すことができる心地よい場所で、春はサクラが咲き誇る地域の広場です。
富士見台公園のサクラ,35.625475,139.386003,八王子景観100選No.93,下柚木９０５ー３,多摩ニュータウン計画の一環で整備された公園で、広い芝生広場には一面に桜が植えられ、花見の名所の一つです。
大光寺のシダレザクラ,35.641179,139.280747,八王子景観100選No.94,初沢町１３５２,多摩八十八ヶ所霊場にあたる大光寺にあるシダレザクラです。
陵南公園のサクラ,35.648933,139.288024,八王子景観100選No.95,落合南９丁目８ー３３９,園内には多くのサクラが植えられ、春のさくらまつりでは大勢の人で賑わいます。南浅川に沿って咲き誇るサクラは水辺に映え、美しい景観をつくりだします。
多摩森林科学園のサクラ,35.645959,139.279517,八王子景観100選No.96,廿里町１８３３ー８１,江戸時代から伝わる栽培品種や国の天然記念物に指定された桜のクローンなど、約1,500本が植えられています
東京都立大学前のサクラ並木,35.616229,139.378012,八王子景観100選No.97,南大沢１丁目１,南大沢駅から東京都立大学へ向かっていく大学手前に桜並木があります。
白山神社まちの広場のサクラ,35.629439,139.35886,八王子景観100選No.98,中山８１７,開発に合わせて、白山神社の前に広場がつくられ、神社の参道や広場の周囲には多くのサクラが植えられています。
裏高尾町のカツラ林,35.638646,139.243039,八王子景観100選No.99,裏高尾町、高尾町,裏高尾町の山林の中にカツラの人工樹林の群生地があります。芽吹きからの新緑、そして黄葉がひときわ色鮮やかです。
狭間公園のイチョウ,35.640889,139.29061,八王子景観100選No.100,狭間町１４９１ー１,クワの木やイチョウをはじめとする落葉樹が多く植えられています。紅葉の時期は黄葉が美しく、まちなみを彩ります。
