name,lat,lon,要素,住所,説明
円通寺,35.71368,139.32025,八王子八十八景No.35,高月町１１５８,天台宗の古寺。903年の創建と伝えられるが、堂宇は戦災で焼失。見事なしだれ桜でも有名。
大久保石見守長安陣屋敷,35.65883,139.32466,八王子景観100選No.51、八王子八十八景No.36,小門町８２,この一帯に関東十八代官の頭大久保石見守長安の屋敷地があった。現在は産千代稲荷神社境内に碑が残る。
絹の道,35.62159,139.35211,八王子景観100選No.47、八王子八十八景No.37、景観重要公共施設,鑓水,幕末期から明治初期まで、八王子から横浜に輸出用生糸を運んでいた道。登り口には「絹の道資料館」がある。
桂福寺,35.70899,139.29599,八王子八十八景No.38,戸吹町１９３,寛永2年（1625）開山、元禄16年（1703）に再建。朱塗りの山門は鐘楼を重ねた珍しい楼門である。
広園寺,35.64708,139.31666,八王子景観100選No.44、八王子八十八景No.39、特に景観上重要な都選定歴史的建造物等,山田町１５７７,1390年の創建で、境内一帯は東京都の史跡に指定されており、建物も4棟が都指定文化財である。
極楽寺,35.66543,139.33117,八王子八十八景No.40,大横町７ー１,八王子城落城により元八王子から移転。戦災からも難を逃れ、山門・本堂・鐘楼等が整った古刹である。
小仏関所,35.64146,139.26635,八王子八十八景No.41,裏高尾町４１９,江戸時代には甲州道中で最も重要視された堅固な関所であった。今でも手形石などが残り、国指定史跡となっている。
子安神社,35.6591,139.34131,八王子景観100選No.49、八王子八十八景No.42,明神町４丁目１０ー３,天平宝字3年（759）淳仁天皇の皇后の安産のために創建されたと伝えられる。昔この神社とその周辺は、船森と呼ばれた森と湧水池で名高かった。
金剛院,35.65685,139.32711,八王子八十八景No.43,上野町３９ー２ 金剛院本堂,寛永8年（1631）の創建と言われている。狩野春笑が描いた西王母六曲屏風などの都指定文化財がある。
浄福寺,35.66735,139.248,八王子八十八景No.44,下恩方町３２５９,寺と裏山を含めた一帯には、14世紀から15世紀の城郭と言われる浄福寺城跡がある。春には見事なしだれ桜も咲く。
真覚寺,35.64817,139.30414,八王子八十八景No.45,散田町５丁目３６ー１０,かつては境内の池にヒキガエルが産卵のために集まり、この様子はカエル合戦と呼ばれ、江戸時代から広く知られていた。6月中旬はアジサイが見頃となる。
相即寺,35.67272,139.30224,八王子八十八景No.46,泉町１１３２,八王子城の北東に位置することから、かつては城の鬼門除けとしての役割を担った。ランドセル地蔵があることでも有名。
高尾山薬王院,35.6259,139.25028,八王子景観100選No.54、八王子八十八景No.47,高尾町２１７７,真言宗智山派の大本山。744年に行基菩薩により開山されたとの言い伝えがある。四天王を安置した総桧造りの勇壮な山門、仁王門、本堂等がある。
多摩御陵（武蔵陵墓地）,35.65114,139.2815,八王子景観100選No.50、八王子八十八景No.48,長房町１８３３,天皇陵としては東日本に初めてつくられた。陵墓内には北山杉が植えられ、大正天皇、昭和天皇などの陵がある。
白山神社,35.6441,139.27408,八王子八十八景No.49,廿里町４８ー１,平安時代の仁平4年（1154）の奥書のある経巻や銅鏡などが経塚から出土した。春には神社周辺や参道の桜も見事。
八王子車人形,35.67019,139.25519,八王子八十八景No.50,下恩方町1566,ロクロと呼ばれる箱車に腰掛け、一人一体の人形を操る人形芝居。江戸時代末期に考案され、西川古柳座が伝統を受け継ぎ、幅広い活動を行っている。
八王子城跡,35.65269,139.25643,八王子景観100選No.40、八王子八十八景No.51,元八王子町３丁目2664ー2,北条氏照が築城した北条氏最大の支城跡。豊臣秀吉に攻められ1590年に落城。御主殿跡虎口など一部が復元され、全域が国指定史跡となっている。
いちょう祭り,35.65131,139.30002,八王子八十八景No.52,並木町,11月下旬、甲州街道追分交差点以西のイチョウ並木を中心に行なわれる。通行手形を手に関所をめぐるオリエンテ－リング、パレ－ドなど様々な催しで賑う。
お諏訪さま,35.67767,139.28966,八王子八十八景No.53,諏訪町１,毎年8月26・27日に「まんじゅう祭り」が行なわれる諏訪神社。当日は四谷龍頭の舞（市指定無形民俗文化財）も舞われ、多くの人出で賑う。
お酉さま,35.66043,139.34001,八王子八十八景No.54,横山町２５ー３ 市守・大鳥神社,毎年11月の酉の日に、市守神社で行われる酉の市。境内では縁起物の熊手を売る店が立ち並び、甲州街道沿いに露店が出て賑う。
しょうがまつり,35.66208,139.34154,八王子八十八景No.55,新町５ー５,毎年9月の第1土曜日に行われる永福稲荷神社の例祭。しょうがを屋台一杯に盛り上げた露店が並ぶ。
高尾山節分会,35.6259,139.25028,八王子八十八景No.56,高尾町２１７７,高尾山薬王院では毎年節分の日に、芸能人・力士などや年男・年女による豆まきが行われ、多くの人々で賑う。
どんど焼き,35.66889,139.21696,八王子八十八景No.57,上恩方町２０３０,正月の門松やしめなわ等のお飾りを子供たちが集めて焼く小正月の火祭り。市内各所で行なわれている。
八王子まつり,35.66033,139.32875,八王子八十八景No.58,八幡町,8月第一金曜日を初日とする3日間、甲州街道を中心に、山車や神輿などのパレ－ド・関東太鼓大合戦・民謡流しなどが盛大に行われる。八王子最大の真夏の祭典。
百八灯,35.65173,139.31205,八王子八十八景No.59,散田町３丁目３９ー２,約2000本のロウソクを境内に立てて点火し、煩悩を拭い去るとともに豊作・家内安全を祈願する。御嶽神社で4月中旬に行われている。
火渡り祭,35.62947,139.26936,八王子八十八景No.60,高尾町２３９０ 高尾山自動車祈祷殿,例年3月第二日曜日に高尾山麓の祈祷殿前広場で行われる高尾山薬王院の行事。山伏などが家内安全・無病息災などを祈願し、火の上を次々に渡る。
南浅川の鯉のぼり,35.65008,139.29631,八王子景観100選No.16、八王子八十八景No.61,東浅川町,毎年5月3日から5日に行われる長房ふれあい端午まつりでは、南浅川をはさんで千匹の鯉のぼりが泳ぐ。
小泉家屋敷,35.6142,139.35882,八王子八十八景No.62、特に景観上重要な都選定歴史的建造物等,鑓水２１７８,明治11年に建てられた入り母屋造りかやぶき屋根の民家。当時の養蚕農家の様子をよく伝え、裏山を含めて都有形民俗文化財に指定されている。
甲州街道の老舗,35.66057,139.32569,八王子八十八景No.63,八幡町１１ー６,往時の繁栄を感じさせる土蔵造りなどの老舗が現在も甲州街道沿いに何軒か残っている。
サイエンスドーム八王子,35.6647,139.3278,八王子八十八景No.64,大横町９ー１３,直径21ｍのプラネタリウムド－ムなど、見て、触れて遊びながら科学が学べる市の文化施設。
スクエアビル,35.65731,139.33886,八王子八十八景No.66,旭町９ー１,八王子駅前の再開発ビル。多くの人々で賑わっており、八王子の新しいランドマ－クとなっている。
創価大学,35.69082,139.32696,八王子八十八景No.67,丹木町１丁目２３６,昭和46年開校。総面積約81万平方メ－トルの広大なキャンパスを持つ。
大学セミナーハウス,35.63035,139.36555,八王子景観100選No.82、八王子八十八景No.68、東京都選定歴史的建造物,下柚木１９８７ー１,大学のための新しい学問研究の場として昭和40年7月に開館した。現在では一般開放されている。
高尾駅駅舎,35.64222,139.28183,八王子八十八景No.69,高尾町,全国的にも珍しい木造の駅舎。高尾山の表玄関として、年間を通して観光客で賑う。
高尾山麓の老舗,35.63138,139.26995,八王子八十八景No.70,高尾町２２９２,山麓には高尾山登山客へのみやげ物屋などの古い建物が残っている。
中央大学,35.64024,139.40404,八王子八十八景No.71,東中野７４２ー１,昭和53年開設。約2万4千人の学生が通う
東京工科大学,35.62623,139.34053,八王子八十八景No.72,片倉町１４０４ー１,昭和61年開設。約36万平方メ－トルの敷地には、大学・専門学校がある。
東京都立大学,35.61725,139.37715,八王子景観100選No.78、八王子八十八景No.73,南大沢１丁目１,平成3年4月、目黒区より移転開設した。
東京薬科大学,35.63862,139.38395,八王子景観100選No.38、八王子八十八景No.74,堀之内１４３２ー１,昭和51年開設。自然に囲まれた煉瓦造りの校舎と薬用植物園、自然池などがある。
八王子市役所,35.66652,139.316,八王子八十八景No.75,元本郷町３丁目２４ー１,昭和58年に完成した事務棟10階、議会棟5階建ての庁舎。
ベルコリーヌ南大沢,35.61124,139.37146,八王子景観100選No.85、八王子八十八景No.76,南大沢５丁目９ー１,南欧の山岳都市をイメ－ジした多摩ニュ－タウンの住宅。景観に優れた建築物として表彰された。
みころも霊堂,35.63702,139.28228,八王子八十八景No.77,狭間町１９３３ー９,労働災害で殉じた人々のための慰霊堂。周辺は御衣公園と呼ばれており、菅原道真の像などがある。
やまゆり館,35.68653,139.29886,八王子八十八景No.78,川口町３８３８,公民館、図書館、市民センタ－が集合した市の複合施設。平成9年に開館した。
桑並木通り,35.6585,139.33938,八王子八十八景No.79、景観重要公共施設,横山町他,八王子駅からまっすぐ北に伸びる幅30ｍの大通り。沿道には商業ビルや業務ビルが建ち並び、周辺は活気に満ちている。
甲州街道（一般国道20号）,35.65147,139.30023,八王子景観100選No.19、八王子八十八景No.80、景観重要公共施設,並木町他,追分から高尾まで続く768本のイチョウの並木道。日本三大並木の一つといわれ八王子のシンボルとなっている。
高尾山ケーブルカー清滝駅前,35.63116,139.26704,八王子八十八景No.81,高尾町２２０５,日本一の急勾配を誇る高尾山ケ－ブルカ－の麓、清滝駅周辺は登山者などで常に賑う。
多摩都市モノレール,35.63358,139.42137,八王子八十八景No.82,東中野他,平成12年1月に上北台から多摩センタ－間が全線開通。多摩地域を南北に結ぶ新しい交通手段となっている。
中央自動車道,35.67706,139.34246,八王子八十八景No.83,宇津木町他,調布から八王子間が昭和42年に開通。週末には多くの車が甲州・信州方面の観光地などへ向かう。
西放射線ユーロード,35.65789,139.33692,八王子景観100選No.60、八王子八十八景No.84、景観重要公共施設,中町他,八王子駅北口から八日町方面に向かう歩行者専用の道。たくさんの店が建ち並び、多くの買い物客や学生たちで賑わっている。
八高線沿線,35.69079,139.36345,八王子八十八景No.85,平町、小宮町,ロ－カル線の雰囲気の沿線にはのどかな景色も残っており、写真撮影に来る人も多い。平成8年に電化された。
マルベリーブリッジ,35.65677,139.33921,八王子八十八景No.86,旭町,八王子駅北口の新しい立体広場。駅ビルと一体となって新たな都市空間を創り出している。
みずき通り,35.66045,139.33365,八王子八十八景No.87,本町他,甲州街道の八日町交差点から北へ入る通り。4月から5月には紅白のハナミズキが咲く。
南大沢・輪舞橋,35.61188,139.37837,八王子八十八景No.88,南大沢２丁目４,「太陽と月の出会い橋」をコンセプトにデザインされた南大沢駅近くの大きな丸い歩道橋。
